Unidad Territorial;Tasa total;Dimension total;0-39;40-49;50-59;60-69;+70;Mujer;Hombre;Cerebro;Cervix;Colorectal;Esofago;Estómago;Glándulas salivares;Hígado;Hipofaringe;Labio, cavidad oral;Laringe;Leucemia;Linfoma Hodgkin;Linfoma No-Hodgkin;Mama;Melanoma de piel;Mesotelioma;Mieloma Multiple;Nasofaringe;Orofaringe;Otros;Otros de piel;Ovario;Páncreas;Pene;Próstata;Pulmón;Riñón;Sarcoma Kaposi;Testículo;Tiroides;Utero;Vagina;Vejiga;Vesicula Biliar;Vulva
"León";"774,0011886331835";"3560,41320772453";"75,8813498034304";"164,48673361139";"489,975682787187";"815,565782786531";"2014,50365873599";"1460,09746441305";"2100,31574331148";"51,7160030310039";"20,8389442874645";"516,430061151382";"29,0659587061404";"100,121452205745";"8,08152653181637";"86,5976375821657";"11,1038928129584";"61,3108551220446";"34,1165050854301";"76,2076709159576";"11,0863897617237";"99,3483236234972";"386,128775903692";"65,6928760208672";"7,35942067377814";"43,9776012951669";"4,41543435982595";"13,9832921261867";"118,333520688265";"332,295563289845";"41,5235140863703";"108,787842068228";"7,18078676509802";"420,219835250165";"361,909837196017";"103,872632701287";"3,66041846457896";"9,49085905580285";"51,5233263689982";"81,5720113400026";"2,02844336523864";"251,069267659553";"25,1308857151509";"14,2318425130869"
"Lugo";"810,46786827752";"2671,19673301983";"55,0748934065251";"115,82145553226";"331,959318760045";"580,911801692982";"1587,42926362802";"1079,65096046784";"1591,54577255199";"38,0888958970447";"15,0910934201869";"390,145327869002";"21,6578564389532";"76,075244734106";"6,07389848095327";"64,8920410882623";"8,02111022707211";"45,9696753483945";"25,1198626848607";"57,5183753218224";"7,99084107486622";"73,9281946657622";"280,822460719582";"48,5780286996431";"5,61584529420932";"33,4323687511575";"3,18925687908638";"10,10337583293";"89,3792711522033";"260,133935339024";"30,4591916445142";"82,3517972969067";"5,48841012505568";"314,159823380067";"270,430380150834";"77,1833456714812";"2,75626358206405";"6,7514175576396";"37,0196260700923";"59,6388352956783";"1,52069951133376";"191,713233453431";"19,2816747403478";"10,6150746212633"
"Ciudad Real";"612,5888839142995";"3036,97677678237";"96,4400951154574";"178,530550705146";"495,604423851282";"700,703860914694";"1565,69784619579";"1263,55624863543";"1773,42052814694";"46,9852467049044";"20,2364651922521";"430,445942515832";"25,0160454439946";"82,3528848745991";"6,84471258678301";"73,3931217437887";"10,0900207970337";"51,6436077970448";"29,8930830102848";"65,388922711594";"11,9595610752058";"87,2069310904005";"353,547240907066";"59,4833013005061";"6,13709606613275";"36,2659093510824";"4,32261092303472";"12,5776183600362";"99,6560358555655";"255,842618848124";"37,0825719354245";"89,2356936380232";"5,94265477441647";"358,129976255773";"309,17093102553";"90,6710981816892";"3,26138445557054";"11,6129360089077";"51,2580959802275";"71,7510213110833";"1,66719359998949";"205,948867747023";"19,9874841669417";"11,9678905465"
"Palmas, Las";"511,5416657888765";"5731,34351599852";"240,748535961888";"487,860358936087";"1141,48483505014";"1515,7610203028";"2345,4887657476";"2387,75262311108";"3343,59089288744";"95,128950481172";"45,5246896623372";"780,907221351027";"49,0611028987884";"144,71552952753";"12,5182687692122";"138,290584409222";"21,843112876226";"95,9791543517294";"61,0956134644557";"118,962454294482";"27,1848214296951";"169,989540224498";"739,278150584411";"121,196709384044";"11,3155961550939";"63,5712417577274";"9,75409960880502";"26,9149759331278";"177,087578387986";"373,660185818556";"73,9387472348736";"156,114205245536";"10,6692397355205";"714,679312207608";"597,88105492877";"179,045662648629";"6,40713877338065";"28,4764214220554";"117,658225276356";"140,321472569816";"2,83885075492831";"365,385916272876";"32,3501575869669";"21,5975299710772"
"Segovia";"685,1404479856134";"1049,14871659589";"26,9704032143794";"55,8458493605276";"160,880432167666";"236,961119653262";"568,490912200059";"418,882331237391";"630,266385358502";"15,661215711452";"6,34739320138055";"150,676128154087";"8,72088377018447";"29,1906134984976";"2,39080618890908";"25,7203443684093";"3,45517562877201";"18,0742051789778";"10,3731243812466";"22,6185040569132";"3,69537352776572";"29,5420396744365";"113,549469647848";"19,7816807832342";"2,14356453707313";"12,731849203189";"1,41242986579418";"4,2818157263417";"34,9444860150764";"94,916506975008";"12,0256299949492";"31,4039651232929";"2,14311773263331";"125,828567000096";"107,273199815727";"31,1994944175202";"1,11650167784667";"3,4063943508364";"16,0260235539325";"23,1444957800771";"0,5718123660037";"73,4957185311319";"7,18525719826217";"4,10092895898741"
"Asturias";"732,1285546892149";"7488,21085736129";"170,185093972622";"399,403546614975";"1069,1891817525";"1903,77578223019";"3945,657252791";"3196,15313475221";"4292,05772260908";"111,861726060934";"47,5756166780597";"1073,27865273965";"61,2690644106585";"204,422841693838";"16,6145197196187";"180,519831868041";"24,127134116597";"128,022924740914";"72,6973762138481";"157,343819160664";"24,3121436574894";"212,216566472224";"872,118129360266";"142,01501386153";"15,390047963659";"90,4465039352378";"9,71651162146604";"30,74570465745";"241,531473929169";"630,794268394258";"92,7775410100197";"225,11424499078";"14,263985742295";"897,026378509025";"765,648747864013";"220,377407085467";"7,60464709820134";"21,0505755980308";"117,881331383439";"184,438026539826";"4,29421285210315";"510,118434603117";"50,4314119393372";"30,1640408900594"
"Cáceres";"686,8248936297257";"2707,1271864905";"70,7742218996488";"138,245406765183";"425,644696207587";"633,905382991888";"1438,5574786262";"1098,49341220246";"1608,63377428804";"40,6102633263403";"16,6804843647602";"387,9658826464";"22,4919751833935";"74,4747309701209";"6,11247323600423";"66,1389358344346";"8,97040202960318";"46,4514703407353";"26,9035034310117";"57,7374126555457";"9,53618837840452";"76,4692575883357";"299,996336753653";"51,2742008821356";"5,54934448736626";"32,7213232486434";"3,64203912983401";"11,2083172395964";"88,6805850620911";"235,492652688686";"31,8005542567037";"80,7248745365169";"5,41522208428621";"327,38575314897";"278,289177113666";"80,4455602422617";"2,83452638966845";"8,7545334070329";"42,2071152161484";"62,1353344671029";"1,48464886020107";"187,763335615652";"18,2499317453271";"10,5288399298689"
"Ávila";"758,3191761498541";"1195,41434928263";"26,0598863612631";"54,8907587344772";"165,767105987415";"267,745904881743";"680,950693317734";"462,699557566937";"732,714791715696";"17,2918398865584";"6,69217351387055";"173,459030341952";"9,93509436276136";"33,6820453671081";"2,71755760002274";"29,3704036833254";"3,82014804389578";"20,5808337043355";"11,7476402183329";"25,6910554228642";"3,8132298183073";"33,0993223254995";"122,807419837065";"21,8045529853583";"2,51185306469357";"14,7240954446943";"1,50432737856838";"4,76436555524886";"39,6647164603401";"112,602295504087";"13,1770388418044";"36,1416735065425";"2,50764679432393";"146,172525230637";"123,152845809286";"35,1565232721789";"1,24733916584986";"3,31532226914898";"16,8947554556461";"25,7121565765728";"0,64055912170966";"86,1216478207914";"8,37022821272035";"4,52008668653196"
"Albacete";"598,39006814992";"2322,7527758355";"75,4907350366749";"146,471958680672";"389,16098438105";"526,819710414513";"1184,80938732259";"949,265821567132";"1373,48695426836";"36,140355631927";"15,6445241146808";"328,047105045412";"19,2722214578759";"62,7142726321246";"5,23262445583448";"56,1990538204741";"7,84125982656057";"39,3825537658501";"23,1203893072219";"49,9647805051104";"9,36869232989602";"66,773286621096";"269,887241092545";"45,7573455811371";"4,71191186199663";"27,5486069677797";"3,39052425438254";"9,70616937216682";"75,8722006089849";"193,927438452011";"28,0608462677524";"67,4517656047718";"4,60653794309332";"275,921632894527";"237,500169130233";"69,8286522826184";"2,528105127214";"9,26103459709521";"39,8809850990338";"53,9754641807857";"1,23712954555572";"157,965657706535";"15,0588357687192";"8,9734019824961"
"Ceuta";"424,17370388285735";"359,60174094077";"19,1642908538927";"29,4443403843248";"75,1488512390077";"98,2956083972129";"137,548650066332";"150,362930391175";"209,238810549595";"6,29209974717928";"2,89627727791394";"48,4375451184881";"3,09570027165819";"8,95090593021399";"0,79720826069863";"8,7204498934275";"1,40789375418026";"6,03847405424647";"3,8859439787531";"7,84050834424126";"2,01341056267487";"10,8971281168241";"46,1872897882351";"7,79489774228424";"0,691888230311894";"3,9380522787149";"0,653200062140437";"1,73316571984507";"11,4700057155424";"22,1251234549434";"4,65222135948437";"9,70157894177963";"0,657043328044425";"45,0526120066985";"37,3544438737852";"11,3885080557075";"0,415723768112754";"2,15622413593568";"7,67946329344223";"8,74091402509804";"0,181210713437428";"22,4248856886667";"1,98235478164725";"1,34738866641337"
