Unidad Territorial;Tasa total;Dimension total;0-39;40-49;50-59;60-69;+70;Mujer;Hombre;Cerebro;Cervix;Colorectal;Esofago;Estómago;Glándulas salivares;Hígado;Hipofaringe;Labio, cavidad oral;Laringe;Leucemia;Linfoma Hodgkin;Linfoma No-Hodgkin;Mama;Melanoma de piel;Mesotelioma;Mieloma Multiple;Nasofaringe;Orofaringe;Otros;Otros de piel;Ovario;Páncreas;Pene;Próstata;Pulmón;Riñón;Sarcoma Kaposi;Testículo;Tiroides;Utero;Vagina;Vejiga;Vesicula Biliar;Vulva
"León";"333,23182287227866";"1521";"9";"27";"128";"253";"1104";"585";"936";"47,0264700747658";"6";"237";"32";"89";"3,83329215200587";"85";"4,02253509998882";"15,8022026242114";"16";"41";"3,01121101386808";"40,1830105968178";"75";"9";"5,33239304413679";"27,8057783893141";"2,30853969567606";"6,50895194222774";"114,897577253552";"12,5435376040118";"37";"73";"1,88888888888889";"90";"293";"36,4014417480916";"0,326663317331711";"0,111111111111111";"5,73647334872753";"12,1055632638384";"0,843873974509261";"75";"18,5818195056992";"3,7286653512258"
"Lugo";"341,2147121782245";"1119";"4";"23";"96";"180";"816";"442";"677";"23,0453579988872";"3";"182";"17";"63";"2,60473950051724";"35";"2,33429490787625";"11,631629476135";"5";"45";"2,42281324332627";"31,9167596119418";"61";"7";"4,40966604229229";"20,6604271447319";"1,97778663260895";"4,57083543473158";"114,602380541441";"9,45700782478562";"28";"68";"3";"98";"173";"25,5426871234186";"0,292586107436367";"0";"5,73332341948141";"11,8557721214288";"0,957702472831182";"37";"14,7301426360703";"5,25408776005853"
"Ciudad Real";"235,33214152248786";"1165";"11";"28";"112";"245";"769";"417";"748";"38,8366777292084";"9";"180";"15";"51";"2,0455877780567";"50";"1,66120048505699";"8,34827004434237";"14";"30";"2,28749934394571";"31,9672113059895";"58";"10";"6,82386797417284";"21,7452893500648";"1,38893321690781";"2,94678016507811";"82,3911791593238";"11,2035975317769";"20";"77";"0";"72";"250";"21,1428571428571";"0,485195801396109";"0";"4,3798604634488";"15,094891493164";"1,51097289109534";"59";"10,9722851676879";"4,76784295642674"
"Palmas, Las";"204,32070659069106";"2311";"48";"97";"285";"515";"1366";"927";"1384";"58,9217194696267";"21";"267";"46";"78";"5,32432707977816";"93";"7,81858519328";"28,7025718946135";"43";"49";"6,10517919588453";"71,3529289464603";"164";"38";"7,8792095776245";"46,5418918576551";"5,88999396448772";"12,5126771409043";"199,85720002512";"14,6217547096349";"38";"174";"4,83892773892774";"130";"508";"37,3529385174686";"0,696737492457282";"2,16192696192696";"7,65596192783872";"20,9434042478336";"1,28734771910843";"91";"24,3132702072962";"6,2214461320723"
"Segovia";"277,56421115729944";"426";"7";"13";"39";"71";"296";"171";"255";"12,2443181818182";"5";"58";"11";"36";"2,19458995237083";"20";"1,3047697617918";"7,70070297165057";"6";"11";"1,1875469914165";"15,2344346543801";"27";"4";"2,13796947757786";"10,5780183542034";"1,25792890435628";"2,04765919942792";"28,5007736395784";"5,0192295216347";"7";"33";"1";"31";"53";"10,1819310735043";"0,177441060327277";"0";"2,01515151515152";"3,80048794671436";"0";"14";"3,41704679409595";"0"
"Asturias";"339,62056726450356";"3460";"33";"77";"301";"717";"2332";"1411";"2049";"99,1409654627916";"27";"467";"66";"145";"5,54442441856494";"175";"7,2475551847795";"29,2607449040322";"37";"102";"6,21384812946605";"83,5709460581837";"213";"30";"10,1189096771333";"57,2152058123503";"4,99355922960292";"12,2427174888297";"254,356995160859";"24,3920279990253";"71";"240";"2,43589743589744";"214";"739";"79,5651751121427";"0,867658749963787";"1,15384615384615";"11,9830004681338";"47,1914335297638";"2,29192600524794";"145";"38,7676635329126";"10,4454994864733"
"Cáceres";"291,4380502743397";"1142";"6";"26";"125";"230";"755";"433";"709";"24,8869074568141";"9";"172";"18";"60";"1,34358317672842";"43";"2,17866701866763";"8,17076902099606";"13";"52";"2,49245319428057";"30,8919823523766";"68";"8";"3,16255369650131";"20,6155644533428";"1,49347207226037";"3,97936628528441";"116,381198745004";"7,49960164086997";"22";"58";"0";"69";"228";"19,7837247622894";"0,134299861247123";"0";"4,95178672487671";"13,4573595605205";"0,655410127477932";"45";"12,3264151586402";"2,594884691822"
"Ávila";"294,29673229145527";"464";"4";"8";"31";"74";"347";"180";"284";"15,455";"1";"67";"6";"28";"0,814960144648499";"20";"0,74060289082159";"4,70401022341974";"2";"7";"1,04171959563821";"15,6938353026262";"27";"7";"3,01739937890561";"11,2644451017356";"0,94752829334568";"1,42123680341286";"47,8029934134293";"4,64398880271856";"9";"24";"0";"40";"78";"14,1756884976063";"0,129849558092093";"0";"0,976666666666667";"6,86047155924156";"0,280998613037448";"14";"2,48519322677615";"1,54341192787795"
"Albacete";"222,5255621088418";"864";"9";"25";"99";"149";"582";"343";"521";"30,4877852212347";"2";"131";"10";"53";"2,23694704485524";"30";"2,24653827338656";"11,2919676796351";"6";"32";"1,38278735782378";"20,0390771476555";"48";"7";"2,81864164493711";"13,5781354945207";"2,17439221331431";"4,05020581084493";"67,6460850389919";"9,58923403027109";"9";"52";"2,1";"44";"153";"17,1079415860969";"0,305974220879256";"0,7";"5,11231672432335";"8,35300866611138";"0,732891352943029";"72";"10,5365366850319";"2,50953380714316"
"Ceuta";"153,20301180494525";"129";"0";"10";"13";"40";"66";"49";"80";"1";"1";"12";"0";"7";"0,046594982078853";"5";"0,14336917562724";"0,387096774193548";"3";"2";"0,321297809946769";"4,21621892777769";"13";"3";"0,689203483258499";"2,46248326227555";"0,0788530465949821";"0,290322580645161";"17,4410861033545";"2,05450760532728";"3";"4";"0";"6";"33";"1,05658373786408";"0,086110310989771";"0";"0";"1,46140481509059";"0,12621359223301";"3";"1,62409068594636";"0,514563106796116"
"Huesca";"281,11205413876877";"626";"3";"11";"57";"116";"439";"235";"391";"23,5191434468524";"2";"92";"11";"27";"1,33652227060565";"31";"1,22789630864437";"6,70036740080117";"3";"21";"1,1356930597764";"15,4416156372551";"24";"3";"1,96752557683169";"10,4226913029685";"0,897579406060021";"2,41232342235631";"52,8623737029475";"5,8814965417539";"10";"50";"1,19191919191919";"42";"112";"18,4688183901488";"0,13701479518587";"0,622895622895623";"2,25959752321981";"9,1786141673504";"0,565677354277417";"33";"6,63763658073789";"2,13259829741195"
"Alicante/Alacant";"227,88591660779792";"4284";"51";"145";"438";"877";"2773";"1699";"2585";"130,864625943585";"32";"585";"89";"182";"8,72031648507166";"171";"10,6204715909072";"45,3918352812176";"54";"112";"8,34421880118409";"105,728102557777";"257";"53";"17,075794737473";"69,9276786410385";"7,04163028730258";"19,1146587630215";"355,40608351716";"30,0065265307884";"85";"300";"3,29444444444444";"235";"954";"68,826555764487";"0,806457949166883";"2,46851851851852";"11,8218834399523";"38,2742875660793";"2,80806800748639";"191";"35,0511603433684";"12,4066808299695"
"Coruña, A";"286,9457085170015";"3219";"21";"86";"265";"629";"2218";"1327";"1892";"84,1162802987473";"19";"461";"66";"165";"7,18550361499702";"137";"10,9528540744721";"40,6997468423481";"35";"95";"5,37477932437984";"79,3406322924157";"168";"28";"13,4276627451274";"55,2845883832044";"6,23932184796569";"17,8917942961162";"325,982211767135";"19,0270406683348";"58";"228";"0,888888888888889";"174";"639";"82,9826133774985";"0,461051266161985";"0,111111111111111";"12,4084089443413";"31,8477973140737";"1,57161993736123";"106";"35,6100645575652";"8,59602844775494"
"Santa Cruz de Tenerife";"205,47676447309613";"2147";"30";"74";"260";"485";"1298";"873";"1274";"61,5917315518619";"23";"266";"39";"62";"5,80633061532928";"103";"6,53469359280603";"30,7017035376778";"22";"62";"7,77264842540927";"77,7115809802662";"162";"24";"9,21438993738911";"47,5157705943245";"4,87753483082451";"10,5625734779042";"205,639100750973";"10,0988416945256";"36";"146";"1,88888888888889";"116";"453";"30,5277486602554";"0,339992298866943";"0,777777777777778";"7,28106618223977";"18,1642582176588";"1,2739510401953";"62";"26,0803484391605";"6,63906850566545"
"Palencia";"356,1604530909862";"571";"2";"8";"55";"108";"398";"213";"358";"19,4262458803555";"5";"81";"12";"31";"1,19870988616107";"25";"1,65970621858139";"7,33675854935421";"11";"17";"1,87494323480904";"20,1109231284153";"22";"6";"1,07498749328247";"13,0141336367757";"1,18634191806314";"2,93972059984615";"48,7672632720834";"2,88005062023199";"6";"39";"0";"30";"118";"8,21866842358646";"0,0517158638293664";"0";"1,87552847964313";"4,71563879379738";"0,396654719235364";"21";"8,55745332814571";"1,71455595380327"
"Zamora";"352,3108307735597";"601";"5";"10";"41";"102";"443";"234";"367";"21,3665413533835";"2";"97";"10";"40";"0,604001985978902";"20";"0,83548094403377";"3,04782664312111";"6";"24";"0,91501042602081";"11,7933461470155";"34";"6";"2,19191993449851";"8,29164342696368";"0,565391679774633";"1,63237864696876";"43,6013202089573";"4,05171674539356";"12";"33";"2,21111111111111";"44";"107";"14,2798186757734";"0,125024338139092";"1,21851851851852";"2,49493927125506";"7,18198069550313";"0,793309438470729";"30";"5,36960790151246";"3,42911190760653"
"Barcelona";"209,89302159242902";"12055";"149";"376";"1161";"2415";"7954";"5057";"6998";"369,618825189139";"63";"1578";"224";"503";"23,9996459476557";"628";"26,6607571066542";"124,984297894421";"114";"403";"26,7411213044166";"318,732489019091";"789";"123";"54,6118915497778";"211,526389676492";"20,1149228838085";"47,1751323980466";"1138,371790377";"80,2334919008196";"255";"883";"13,2465811965812";"582";"2470";"196,969417074052";"2,15952258962051";"4,0522792022792";"41,4056667939863";"130,185068595331";"5,36879892221434";"467";"114,820595654459";"22,0213147241537"
"Murcia";"198,24635351771482";"2996";"34";"132";"367";"551";"1912";"1100";"1896";"90,8066143749101";"19";"372";"48";"135";"6,92653331791904";"136";"9,63672536118656";"36,5994253732045";"32";"102";"7,47428021103153";"96,8495772386536";"179";"32";"13,6760708310343";"64,6761425503148";"7,15106585978373";"15,3666182636485";"247,146189940977";"25,7813933661234";"51";"184";"3,88034188034188";"167";"656";"49,2169401139195";"0,834241623149084";"0,690883190883191";"9,4626627149169";"31,1814021212467";"2,57472348551645";"120";"35,2241635045659";"7,84400467667385"
"Soria";"293,6411502632645";"261";"2";"8";"28";"36";"187";"99";"162";"5";"1";"42";"3";"15";"0,609401709401709";"16";"0,091025641025641";"1,8474358974359";"1";"3";"0,701596006721227";"7,92298388925309";"20";"0";"1,03714469397473";"5,37542010402569";"0,185470085470085";"0,236324786324786";"22,478899325057";"1,79294871794872";"4";"24";"0";"23";"40";"4,00970873786408";"0,0328808446455505";"0";"0";"5,41199538549951";"0,129032258064516";"10";"1,54902223986842";"0,588709677419355"
"Cantabria";"276,2028117789348";"1610";"15";"46";"147";"337";"1065";"672";"938";"49,4994061854099";"9";"210";"29";"63";"4,16653287979861";"76";"5,80824365621969";"22,8872854604749";"22";"40";"2,52968965959729";"38,0499680102038";"88";"10";"8,25384903380989";"26,4203423301989";"3,95836351771051";"9,98058311921371";"152,313173483592";"9,17240679116125";"21";"105";"2,76666666666667";"83";"342";"36,0066692151031";"0,225415507022951";"1,62592592592593";"4,84858386275767";"25,5961893260846";"0,960052371174182";"84";"19,2933089991843";"3,63734399869049"
"Castellón/Castelló";"230,70749158967877";"1351";"20";"54";"139";"227";"911";"514";"837";"39,1882017207599";"14";"177";"18";"58";"2,34228397663828";"65";"3,81859847144346";"13,7710527749984";"9";"32";"2,75498952481853";"33,821832434616";"75";"6";"4,49726511669128";"22,4231780405654";"2,1942508677567";"6,55853960952428";"133,138642634633";"6,67131922671106";"28";"91";"2,05555555555556";"103";"270";"30,2801674295079";"0,144528705953313";"1,30555555555556";"3,41102308544169";"11,166807011615";"0,670914053062503";"66";"15,4016066733926";"3,38368753075925"
"Bizkaia";"289,1043371687957";"3352";"28";"75";"307";"692";"2250";"1341";"2011";"105,703920677139";"17";"439";"67";"183";"7,28800409853548";"191";"8,10402542469777";"37,7848948408867";"31";"92";"6,54302033764594";"86,4584135428696";"174";"38";"20,4230705753978";"56,9985661194844";"6,10791830289212";"14,6597376114578";"271,479369507494";"31,3997466307002";"61";"241";"1,74747474747475";"209";"664";"69,8076754981592";"0,97253199393909";"0,882154882154882";"7,29394735047398";"44,2319000855267";"3,1405389113618";"117";"34,9420621094366";"12,0310267522724"
"Huelva";"221,82887704614726";"1163";"21";"44";"138";"265";"695";"444";"719";"32,803673686095";"8";"201";"16";"36";"1,64184399116304";"57";"2,61786651050693";"10,248259731939";"20";"27";"2,50013321578217";"30,4077256160897";"80";"11";"4,5277705550072";"19,0921411681281";"1,89291468536579";"4,65006418923599";"95,2201645678245";"11,3948128259414";"26";"76";"2,7025641025641";"58";"225";"24,1767814734628";"0,316680085799093";"0,937179487179487";"4,33709747464877";"9,90390162609639";"0,439463762044407";"49";"11,5709260545103";"1,61803519061584"
"Girona";"205,29862315614974";"1605";"21";"53";"183";"313";"1035";"658";"947";"51,4417231725741";"12";"211";"23";"66";"2,81134011058733";"64";"3,61237159850231";"15,5285590216864";"22";"55";"4,38146327295921";"51,040582762381";"100";"16";"3,60789275086784";"33,5779539646598";"2,69663200190136";"5,97784797873264";"141,756277075249";"9,22134035381066";"36";"99";"3,11111111111111";"111";"295";"42,5802420116372";"0,329385395157828";"0,518518518518518";"7,01017976630381";"11,8132769390174";"1,87380007806705";"76";"18,0401103813705";"8,06939173490489"
"Rioja, La";"255,6937176866283";"818";"3";"25";"67";"169";"554";"317";"501";"15,9410592829543";"2";"126";"20";"60";"1,36952302579057";"39";"1,94165682114227";"7,99482985744137";"10";"16";"1,90016180134988";"22,0293302005465";"48";"3";"2,39054229890441";"14,0705079981036";"1,32358572527111";"3,68255562788934";"70,1705771831831";"1,73370521430967";"16";"54";"0,833333333333333";"48";"143";"12,6136218067968";"0,05048574613792";"0,0833333333333333";"3,42662963839146";"8,36827610830163";"0,351807271884306";"47";"13,2100263854556";"2,51445133947942"
"Málaga";"196,56923222928728";"3314";"42";"131";"388";"747";"2006";"1284";"2030";"95,4590636645665";"22";"441";"67";"117";"6,19463028827935";"166";"8,67799077904707";"35,1151822557574";"49";"91";"7,24869078868014";"84,9404802473308";"226";"33";"14,2086701554192";"54,8108289639891";"7,05341033102862";"14,8874621299686";"346,228710593596";"21,9680595522882";"67";"186";"2,56114996114996";"151";"713";"72,2028276535671";"0,621247114738698";"1,85637140637141";"8,10363936084999";"38,4960178163801";"1,93491729825472";"112";"40,0408970746986";"10,3897525640389"
"Araba/Álava";"221,29723902497454";"739";"9";"23";"72";"149";"486";"299";"440";"23,4433658008658";"4";"87";"16";"44";"1,60860330636939";"33";"2,24858702052194";"8,78867280367593";"9";"23";"1,18003580142428";"17,4028374467066";"39";"10";"3,30958962840266";"12,4171267518691";"1,94499246932917";"3,59683471668313";"60,1643880976448";"5,58199455679996";"18";"48";"1,46969696969697";"30";"148";"14,3522392105139";"0,199876970346026";"0,446969696969697";"1,92904761904762";"12,243608947404";"0,575235299319233";"40";"14,2168845706784";"2,87941231573135"
"Cuenca";"256,4507823533311";"503";"7";"11";"35";"83";"367";"182";"321";"15,2798857609139";"5";"68";"7";"29";"0,767850296184806";"26";"1,15575243740458";"4,53752766646327";"8";"20";"0,869345665769315";"12,7856498013952";"26";"11";"2,72499260864862";"8,34500453283544";"1,16227048794558";"1,84532840550653";"32,6846331609601";"4,76180744617112";"8";"38";"1,08888888888889";"33";"94";"8,17692307692308";"0,162683384565067";"1,51111111111111";"2,01625710071243";"3,12358550178511";"0,391244857264275";"20";"4,26528953901689";"2,34396826953461"
"Valencia/València";"241,7554858934169";"6266";"73";"204";"678";"1322";"3989";"2404";"3862";"177,214771258853";"31";"836";"101";"239";"14,4255840256905";"307";"16,6674029481638";"69,2409218556027";"53";"198";"13,6831660177766";"173,81905927921";"393";"63";"25,0206435298578";"117,497774703013";"12,4502947852802";"27,6508551988558";"549,8765750753";"34,2131861515812";"115";"431";"8,08640248640249";"367";"1332";"103,655606392576";"1,42545629377074";"3,5533411033411";"20,4689268607729";"56,2746753416603";"2,59984970576055";"289";"70,5707102466393";"12,6047967398919"
"Almería";"175,97483326350203";"1281";"27";"50";"165";"279";"760";"491";"790";"26,3725435417296";"13";"185";"20";"46";"2,39938097256021";"46";"3,44533306497145";"12,2613975113013";"21";"36";"3,7487100591404";"41,234028163801";"90";"13";"6,96464635261853";"26,0172617770586";"2,3494483645285";"5,30702366873214";"145,953441846462";"9,71947955769615";"22";"63";"2,86923076923077";"70";"255";"15,7253680973314";"0,230383975860369";"0,853846153846154";"4,13798449612403";"13,3220127940191";"0,835098413239963";"58";"14,6822063127937";"4,57117410695488"
"Toledo";"218,5366851764492";"1538";"15";"45";"146";"279";"1053";"609";"929";"42,1317037786775";"8";"227";"12";"87";"4,10509446646655";"77";"5,02388641386001";"21,287757990967";"17";"59";"2,96383994489188";"37,4874015564133";"85";"14";"5,44646247340707";"26,5487584986948";"3,40267476941604";"8,24510731217455";"119,354526732917";"10,907066696778";"24";"104";"1,36111111111111";"93";"292";"31,5601619260743";"0,345406775368316";"1,16666666666667";"4,87713900134953";"17,8046152045815";"1,04471655489694";"65";"23,2390810415537";"5,69682108373454"
