,Dimensión,Año,CCAA,Unidad Territorial,Tasa total,Dimension total,0-39,40-49,50-59,60-69,+70,Mujer,Hombre,Cerebro,Cervix,Colorectal,Esofago,Estómago,Glándulas salivares,Hígado,Hipofaringe,"Labio, cavidad oral",Laringe,Leucemia,Linfoma Hodgkin,Linfoma No-Hodgkin,Mama,Melanoma de piel,Mesotelioma,Mieloma Multiple,Nasofaringe,Orofaringe,Otros,Otros de piel,Ovario,Páncreas,Pene,Próstata,Pulmón,Riñón,Sarcoma Kaposi,Testículo,Tiroides,Utero,Vagina,Vejiga,Vesicula Biliar,Vulva
0,Incidencia,2019,Andalucía,Almería,487.45,3494,160,276,632,907,1517,1439,2054,58,26,478,29,89,7,84,12,58,36,74,17,103,435,73,6,39,5,15,111,242,44,96,6,432,360,108,4,19,69,83,1,226,20,13
1,Incidencia,2019,Andalucía,Cádiz,531.17,6587,255,490,1198,1739,2903,2775,3812,107,49,907,55,168,14,158,23,110,68,138,29,193,832,135,13,74,10,29,205,450,84,183,12,819,684,202,7,29,127,163,3,426,38,25
2,Incidencia,2019,Andalucía,Córdoba,591.63,4632,153,282,780,1109,2306,1964,2667,72,32,652,38,123,10,111,15,78,45,99,18,133,557,91,9,54,6,19,150,370,58,134,8,549,472,138,4,18,81,112,2,308,29,18
3,Incidencia,2019,Andalucía,Granada,562.7,5146,186,340,887,1273,2457,2163,2983,81,36,718,42,135,11,123,17,86,51,109,21,149,628,103,10,59,7,22,164,392,64,147,9,620,528,155,5,21,94,125,2,340,31,19
4,Incidencia,2019,Andalucía,Huelva,532.93,2781,110,212,485,695,1277,1169,1611,45,21,384,23,72,6,66,9,46,28,58,12,81,348,57,5,31,4,12,88,200,35,78,5,340,286,84,3,12,53,67,1,181,16,10
5,Incidencia,2019,Andalucía,Jaén,595.05,3770,123,222,646,893,1883,1578,2191,58,25,532,31,101,8,91,12,64,37,80,15,108,445,74,7,44,5,15,122,306,46,110,7,446,385,113,4,15,65,90,2,253,24,14
6,Incidencia,2019,Andalucía,Málaga,544.33,9045,346,663,1565,2318,4151,3774,5271,145,67,1251,75,232,19,216,32,151,92,190,39,264,1129,184,18,103,14,40,281,638,115,252,16,1125,939,275,9,39,172,222,4,592,53,34
7,Incidencia,2019,Andalucía,Sevilla,522.69,10152,402,780,1806,2545,4618,4394,5757,166,78,1401,84,261,22,242,35,170,102,216,45,299,1305,210,20,115,16,44,321,715,133,285,18,1221,1038,309,11,46,198,255,5,651,60,40
8,Incidencia,2019,Aragón,Huesca,672.32,1482,40,81,217,344,798,586,895,22,9,212,12,41,3,36,4,25,14,31,5,41,160,28,3,17,2,6,49,132,16,44,3,179,151,44,1,5,22,32,0,104,10,5
9,Incidencia,2019,Aragón,Teruel,715.37,959,23,45,137,212,540,370,589,14,5,138,7,27,2,23,3,16,9,20,3,26,98,17,1,11,1,3,32,92,10,28,2,114,98,28,1,2,13,20,0,68,6,3
